_id,co_date,co_review
65debd8410cac7425905e999,2021년 12월 4일,환자들에게 희망이되는 앱입니다
65debd8610cac7425905e99b,2020년 2월 18일,희귀질환에 대한 정보라니 신선하네요
65debd8810cac7425905e99d,2020년 2월 14일,잘 쓰고 있습니다
65debd8a10cac7425905e99f,2020년 2월 12일,정성스런 앱이네요
65debd8c10cac7425905e9a1,2020년 2월 7일,많은 도움 됐습니다
65debd8e10cac7425905e9a3,2021년 3월 17일,제공되는 유전자 질환 종류가 적네요.
65debd9010cac7425905e9a5,2021년 11월 13일,다발성경화증도 추가해주세요
65debd9210cac7425905e9a7,2021년 7월 15일,많은 도움이 됩니다
65debd9510cac7425905e9a9,2021년 3월 20일,좋은 어플입니다
65debd9710cac7425905e9ab,2021년 4월 1일,진짜대박입니다!
65debd9910cac7425905e9ad,2020년 2월 6일,거참 좋으네요
65debd9b10cac7425905e9af,2021년 11월 7일,쇼그렌증후군은 없나요?
65debd9d10cac7425905e9b1,2021년 3월 1일,파킨슨병도 추가해주세요 부탁드립니다
65debd9f10cac7425905e9b3,2020년 2월 6일,누군가에게는 꼭 필요했던 앱
65debda110cac7425905e9b5,2021년 11월 12일,크론은 안 희귀해서 없나요 👀
65debda310cac7425905e9b7,2021년 10월 14일,꼭 필요한 어플이네요.
65debda510cac7425905e9b9,2021년 11월 9일,길랑바레증후군은 없나요?
65debda710cac7425905e9bb,2022년 3월 15일,살아가는데 한줄기 희망입니다
65debda910cac7425905e9bd,2020년 2월 18일,유용해요
65debdab10cac7425905e9bf,2021년 11월 7일,탈퇴 어떻게 하나요?
65debdad10cac7425905e9c1,2020년 2월 14일,어플 좋은듯?
65debdaf10cac7425905e9c3,2021년 7월 15일,아직 없어요
65debdb110cac7425905e9c5,2020년 2월 18일,도움이 되요
65debdb310cac7425905e9c7,2020년 2월 6일,유용해요
65debdb510cac7425905e9c9,2020년 2월 14일,꽤 괜찮네요
65debdb810cac7425905e9cb,2022년 4월 2일,유용해요
65debdba10cac7425905e9cd,2022년 5월 5일,좋아요
65debdbc10cac7425905e9cf,2021년 4월 30일,감사
65debdbe10cac7425905e9d1,2021년 1월 26일,굿입니다. Good
65debdc010cac7425905e9d3,2020년 12월 10일,좋아요
65debdc210cac7425905e9d5,2020년 12월 10일,좋아요
65debdc410cac7425905e9d7,2020년 2월 18일,만족합니다
65debdc610cac7425905e9d9,2020년 2월 18일,좋아요
65debdc810cac7425905e9db,2020년 2월 14일,ALL LIVES HAVE EQUAL VALUE
65debdca10cac7425905e9dd,2020년 1월 30일,즣음
65debdcc10cac7425905e9df,2020년 2월 20일,굿샷
65debdce10cac7425905e9e1,2020년 9월 5일,굿
65debdd010cac7425905e9e3,2022년 5월 4일,치료제 정보
