_id,asmGrd,asmGrdNm,asmNm,yadmNm,ykiho
65f10f5db5a3f17e1ea366d5,3,3회연속,고혈압,이상화내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQwMyQzNjEyMjIjNDEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366d6,3,3회연속,고혈압,밝은가정의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366d7,3,3회연속,당뇨병,밝은가정의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366d8,3,3회연속,고혈압,이이형내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366d9,3,3회연속,당뇨병,이이형내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366da,3,3회연속,천식,이이형내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366db,3,3회연속,만성폐쇄성폐질환,이이형내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNTEjJDEjJDYjJDgz
65f10f5db5a3f17e1ea366dc,2,2회연속,고혈압,경희성모의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3MiQ0NjEwMDIjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366dd,1,최근우수,당뇨병,경희성모의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3MiQ0NjEwMDIjODEjJDEjJDIjJDgz
65f10f5db5a3f17e1ea366de,3,3회연속,고혈압,서울엔도내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3MiQzNjE0ODEjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366df,3,3회연속,고혈압,박홍수내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366e0,3,3회연속,당뇨병,박홍수내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366e1,3,3회연속,천식,정애란가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366e2,1,최근우수,당뇨병,정애란가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366e3,3,3회연속,고혈압,정애란가정의학과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ3OSQzNjEyMjIjNzEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366e4,3,3회연속,당뇨병,황일섭내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366e5,2,2회연속,천식,황일섭내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366e6,2,2회연속,고혈압,김나연소아과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366e7,3,3회연속,당뇨병,김나연소아과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ4OSQzNjEyMjIjNjEjJDEjJDAjJDgz
65f10f5db5a3f17e1ea366e8,3,3회연속,고혈압,장원규내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz
65f10f5db5a3f17e1ea366e9,1,최근우수,당뇨병,세현의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQwMyQyNjE0ODEjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366ea,2,2회연속,고혈압,세현의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQwMyQyNjE0ODEjNjEjJDEjJDgjJDgz
65f10f5db5a3f17e1ea366eb,3,3회연속,고혈압,우리내과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQwMyQzNjE0ODEjODEjJDEjJDYjJDgz
